Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,0.27,-0.32,1.66,2.15,-0.49,-0.35,0.82,1.4,-0.14,-0.18,-1.06,4.95,-
KOTA MEULABOH,-0.44,-0.72,1.88,1.75,-0.18,0.07,0.39,0.55,0.19,0.14,-0.58,2.44,-
KAB ACEH TAMIANG,-0.17,-0.48,1.89,0.79,-1.36,0.07,1,1.01,0.31,-0.03,-0.74,4.74,-
KOTA BANDA ACEH,-0.47,-0.49,1.55,1.84,-0.36,-0.17,0.42,0.4,0.39,0.35,-0.53,3.08,-
KOTA LHOKSEUMAWE,0.38,-0.52,1.15,1.37,-0.46,-0.15,0.89,0.76,0.02,0.11,-0.47,2.39,-
KAB LABUHANBATU,0.13,-0.5,0.59,1.25,-0.51,-0.41,0.43,2.09,1.15,-0.43,-1.23,2.14,-
KAB KARO,0.44,-0.92,0.26,1.06,-0.18,-0.43,0.91,1.64,0.44,-0.46,-0.98,1.39,-
KAB DELI SERDANG,-0.01,-0.45,0.84,1.46,-0.58,-0.32,1.19,1.67,0.67,-0.44,-0.67,1.72,-
KOTA SIBOLGA,0.06,-0.52,0.48,1.44,-0.25,-0.28,0.79,0.81,0.73,0.01,-0.67,2.94,-
KOTA PEMATANG SIANTAR,0.53,-0.21,0.86,1.14,-0.17,-0.18,0.79,1.21,0.47,-0.31,-0.11,1.24,-
KOTA MEDAN,0.02,-0.79,0.65,1.31,-0.48,-0.07,0.58,1.18,0.58,-0.05,-0.15,1.54,-
KOTA PADANGSIDIMPUAN,0.13,-0.26,0.96,1.9,-0.68,-0.23,0.52,0.31,1.43,0.63,-0.81,1.47,-
KOTA GUNUNGSITOLI,-0.44,-0.01,0.92,1.24,-0.16,-0.33,0.48,1.53,0.98,-0.54,-0.06,6.94,-
KAB DHARMASRAYA,0.44,-0.58,0.99,1.49,-0.88,0.04,0.91,0.73,0.95,-0.2,-0.49,1.33,-
KAB PASAMAN BARAT,0.79,0.33,0.98,1.68,-2.43,-0.22,1.12,1.01,1.64,0.41,-0.81,2.46,-
KOTA PADANG,-0.28,-0.2,1.06,1.82,-0.59,-0.29,0.45,0.35,0.54,0.52,-0.02,1.23,-
KOTA BUKITTINGGI,0.18,-0.58,0.98,1.96,-0.77,-0.41,0.64,0.56,1.32,0.16,-0.46,1.33,-
TEMBILAHAN,-0.44,0.07,2.66,0.96,-0.63,-0.19,0.47,0.28,1.64,0.55,-0.28,0.97,-
KAB KAMPAR,0.59,-1.05,1.62,1.63,-1.37,-0.46,1,0.87,1.33,-0.75,-0.32,1.88,-
KOTA PEKANBARU,-0.23,-0.24,1.17,1.37,-0.49,-0.11,0.43,0.84,0.95,0.24,-0.11,0.92,-
KOTA DUMAI,-0.46,-0.56,1.33,1.39,-0.68,-0.08,0.62,1.08,1.07,0.04,-0.45,0.9,-
KAB KERINCI,0.65,0.09,0.67,2.01,-1.13,0.68,1.48,0.2,0.64,0.39,-0.85,0.6,-
BUNGO,-0.47,-0.42,2.16,1.79,-0.77,-0.17,0.63,0.4,0.55,0.4,-0.06,0.62,-
KOTA JAMBI,-0.31,-0.84,1.14,1.59,-0.53,0.16,0.21,-0.05,0.9,-0.22,0.34,0.62,-
KAB OGAN KOMERING ILIR,-0.03,-0.44,1.68,1.34,-0.49,0.09,0.05,-0.11,0.03,0.05,0.04,0.67,-
KAB MUARA ENIM,-0.02,-1.02,1.4,1.8,-0.98,-0.04,0.06,0.22,0.35,0.13,0.12,0.85,-
KOTA PALEMBANG,-0.47,-0.3,1.52,1.33,-0.19,0.09,0.17,-0.07,0.3,0.16,-0.01,0.39,-
KOTA LUBUKLINGGAU,-0.64,-0.13,1.41,1.29,-0.21,0.11,0.21,0.07,0.27,0.09,0.02,0.37,-
KAB MUKO MUKO,0.36,-0.84,1.27,1.55,-0.33,-1.21,0.8,0.33,1.54,0.11,-0.19,0.41,-
KOTA BENGKULU,-0.91,-0.47,1.29,1.22,-0.24,-0.31,0.27,0.03,0.78,0.22,0.1,0.44,-
KAB LAMPUNG TIMUR,-0.63,-0.86,2.71,1.19,-0.66,-0.13,0.38,-1.18,-0.19,0.23,0.82,0.81,-
