Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,0.95,-0.87,0.69,1.22,1.26,1.33,1.12,-0.33,0.49,0.19,-0.62,0.98,6.56
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,1.01,-0.34,0.59,1.23,0.92,0.76,0.98,-0.32,0.78,-0.49,0.11,0.64,6
KOTA LHOKSEUMAWE,1.12,-0.99,0.85,1.25,1.03,0.45,0.47,-0.98,0.9,0.04,-0.36,1.51,5.37
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,1.53,-0.21,0.93,0.38,0.85,1.12,1.07,-0.02,0.33,-1.09,-0.05,1.44,6.43
KOTA PEMATANG SIANTAR,0.96,0.18,0.77,0.39,0.62,1.36,0.04,-0.79,1.5,-0.54,-0.08,1.61,6.16
KOTA MEDAN,1.04,-0.28,0.68,0.43,0.76,1.39,0.27,-0.25,0.98,-0.47,-0.13,1.54,6.1
KOTA PADANGSIDIMPUAN,0.9,0.37,1.11,0.78,0.77,1.29,0.59,-0.31,0.99,-0.61,-0.27,0.64,6.4
KOTA GUNUNGSITOLI,0.93,0.43,0.39,0.22,0.05,2.72,1.81,-1.43,0.61,-1.48,-0.37,1.79,5.74
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,1.03,0.09,0.72,0.6,1.38,1.16,1.35,-0.97,1.34,-0.22,-0.3,0.98,7.38
KOTA BUKITTINGGI,0.95,-0.09,1.18,1.1,1.55,1.28,0.24,-0.91,1.87,-0.25,-0.04,0.66,7.76
TEMBILAHAN,1.37,-0.78,1.18,0.55,0.95,0.79,0.91,-1.56,0.89,-0.7,0.21,0.95,4.82
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.71,0.43,0.93,0.57,0.73,2,0.88,-1.24,1.56,-0.72,0.1,0.92,7.04
KOTA DUMAI,0.68,-0.38,0.66,0.74,1.51,1.56,0.57,-1.05,1.57,-0.59,0.17,0.88,6.46
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,1.39,-0.38,1.1,1.25,0.91,1.43,1.05,-1.44,1.1,-1.14,-0.02,0.68,6.04
KOTA JAMBI,1.13,-0.85,1.35,1.53,0.78,1.55,1.3,-1.16,0.55,-0.16,-0.55,0.79,6.39
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.94,-0.01,0.7,0.96,0.81,0.9,0.76,-0.85,1.28,-0.1,-0.05,0.47,5.95
KOTA LUBUKLINGGAU,0.83,-0.05,0.66,0.88,0.98,0.85,0.68,-0.5,1.04,-0.18,-0.09,0.59,5.83
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.54,-0.1,0.74,1.45,0.53,0.6,0.91,-0.24,1.22,-0.14,0.05,0.23,5.92
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.38,-0.4,0.93,0.81,0.58,1.22,0.75,-0.34,1.35,-0.5,0.01,0.62,5.52
KOTA METRO,0.55,-0.2,0.86,1.23,0.64,1.07,0.58,-0.94,1.01,-0.2,0.05,0.63,5.37
TANJUNG PANDAN,0.54,-2.08,1.29,2.58,2.24,-0.03,1.12,-1.65,0.4,-1,-0.64,1.43,4.17
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,1.22,-0.53,1.1,1.82,0.85,-0.22,1.01,-1.2,1.04,-0.3,0.19,0.99,6.07
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.74,-0.48,0.73,1.12,0.79,0.84,0.61,-0.5,1.08,-0.04,-0.2,1.14,5.95
KOTA TANJUNG PINANG,0.38,0.08,0.36,0.84,1.02,0.8,0.66,-0.54,0.92,-0.34,-0.18,0.85,4.96
DKI JAKARTA,0.46,-0.05,0.44,0.7,0.06,0.32,0.57,-0.11,1.21,-0.05,0.05,0.55,4.21
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.53,0.13,0.97,0.68,0.55,0.75,0.55,-0.45,1.18,0.1,0.2,0.49,5.82
KOTA SUKABUMI,0.59,0.11,0.67,0.78,0.25,0.58,0.43,-0.04,1.33,-0.04,0.18,0.5,5.45
KOTA BANDUNG,0.46,0.14,0.84,1.12,0.37,0.74,0.6,-0.24,0.91,0.12,0.12,2.04,7.45
KOTA CIREBON,0.55,0.15,0.64,0.72,0.42,0.48,0.36,-0.03,1.12,-0.1,0.09,0.35,4.86
KOTA BEKASI,0.39,0.31,0.38,0.96,0.29,0.49,0.62,0.12,1.38,-0.19,0.04,0.46,5.37
KOTA DEPOK,0.49,0.28,0.85,1.37,0.26,0.53,0.71,-0.01,1.24,-0.26,0.11,0.32,6.06
KOTA TASIKMALAYA,0.45,0.48,1.04,1.36,0.76,0.41,0.57,-0.22,0.95,-0.05,0.18,0.53,6.65
CILACAP,0.66,0.07,1.19,1.68,0.59,0.71,0.35,-0.55,1.11,0.01,0.2,0.59,6.81
PURWOKERTO,0.67,0.03,0.82,1.65,0.63,0.59,0.39,-0.44,1.15,0.02,0.31,0.49,6.49
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,0.77,0.06,0.81,1.27,0.38,0.66,0.38,-0.31,1.65,0.02,0.13,0.4,6.4
KOTA SURAKARTA,0.41,0.32,0.93,1.47,0.71,0.89,0.35,-0.06,1.3,-0.06,0.11,0.46,7.03
KOTA SEMARANG,0.31,-0.08,0.66,0.86,0.53,0.93,0.59,-0.44,1.13,-0.18,0.13,0.45,4.99
KOTA TEGAL,0.7,0.19,0.89,0.9,1.03,0.63,0.59,-0.64,1.09,-0.07,0.21,0.61,6.31
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.59,0.05,0.77,1.14,0.75,0.52,0.47,-0.12,1.05,0.11,0.32,0.65,6.49
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,0.46,0.06,1.07,1.43,0.52,0.71,0.67,-0.47,1.37,-0.03,0.81,0.57,7.39
BANYUWANGI,0.4,-0.15,0.92,1.06,0.49,0.61,0.68,-0.55,0.87,0.11,0.75,0.73,6.06
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.24,-0.16,1.09,0.95,1.1,0.45,1.04,-1.13,0.95,-0.15,0.66,1.13,6.32
KOTA KEDIRI,0.43,0.2,0.43,1.15,0.08,0.78,0.55,-0.01,1.36,-0.21,0.29,0.59,5.76
KOTA MALANG,0.52,0.18,0.63,1.44,0.51,0.61,0.76,-0.03,1.06,-0.11,0.12,0.58,6.45
KOTA PROBOLINGGO,0.45,-0.18,0.72,1.08,0.47,0.74,0.52,-0.65,0.98,0.16,0.37,0.66,5.45
KOTA MADIUN,0.44,0.03,0.78,0.97,0.58,0.66,0.63,-0.42,1.28,-0.03,0.18,0.58,5.8
