Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,1.44,-0.1,0.52,-0.22,0.45,-0.19,-0.09,0.88,0.15,0.32,-0.01,1.02,4.24
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,0.77,0.54,0.61,-0.08,0.31,-0.18,-0.34,0.44,-0.32,0.62,0.19,0.85,3.46
KOTA LHOKSEUMAWE,0.08,0.49,0.64,-0.29,0.05,-0.07,-0.35,0.3,0.24,0.86,0.3,1.27,3.55
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,0.2,0.69,-0.79,-0.66,0.17,0.13,-0.31,-0.01,0.29,1.04,0.34,1.32,2.42
KOTA PEMATANG SIANTAR,0.62,0.12,-0.12,-0.4,0.37,-0.13,-0.76,0.2,0.29,0.46,0.64,1.47,2.78
KOTA MEDAN,0.58,0.14,-0.19,-0.28,0.42,-0.09,-0.21,0.04,-0.05,0.45,0.3,0.65,1.76
KOTA PADANGSIDIMPUAN,0.32,-0.01,0.53,0.04,0.76,-0.02,-0.25,0.07,-0.12,0.52,0.39,1,3.27
KOTA GUNUNGSITOLI,1.31,-0.73,0.43,-0.71,0.37,0.22,-0.01,0.61,1,0.71,0.15,1.87,5.32
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,0.65,-0.29,-0.02,-0.47,0.66,-0.16,-0.11,0.09,-0.05,0.59,0.52,0.71,2.12
KOTA BUKITTINGGI,0.25,0.46,0.07,0.06,0.39,-0.13,-0.39,-0.17,-0.01,0.75,0.37,0.39,2.02
