Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,0.76,0.39,-0.66,-0.7,0.58,0.47,0.22,0.06,0.45,0.3,0.22,-0.67,1.42
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,0.61,0.57,-0.57,0.18,0.13,0.06,0.3,-0.27,0.14,-0.25,0.38,0.25,1.53
KOTA LHOKSEUMAWE,0.75,0.51,-0.31,-0.42,0.51,0.07,-0.04,0.03,0.27,-0.11,0.19,0.12,1.56
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,1.46,0.32,-0.66,0.27,0.16,0.62,0.35,0.13,0.44,-0.19,-0.19,0.08,2.8
KOTA PEMATANG SIANTAR,0.98,-0.04,-0.3,-0.25,0.45,0.52,0.1,-0.11,0.16,-0.15,0.37,0.56,2.3
KOTA MEDAN,0.86,-0.38,-0.3,-0.2,0.24,0.29,0.28,-0.06,0.38,-0.04,0.49,0.6,2.19
KOTA PADANGSIDIMPUAN,1.16,0.42,-0.17,-0.04,0.49,0.21,0.46,-0.13,0.49,-0.18,0.01,0.21,2.95
KOTA GUNUNGSITOLI,1.87,-0.98,-0.91,-0.42,0.38,0.21,1.3,0.13,0.38,-0.48,0.69,0.2,2.35
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,0.45,0.13,-0.1,-0.03,0.4,-0.03,0.49,0.07,0.07,0.12,0.6,0.34,2.55
KOTA BUKITTINGGI,0.39,0.1,-0.03,0.06,0.18,0.09,0.36,-0.09,0.66,-0.06,0.34,-0.14,1.88
TEMBILAHAN,0.52,0.13,-0.19,0.42,0.13,0.03,0.4,-0.54,0.09,-0.12,0.54,0.11,1.53
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.63,0.19,-0.17,-0.01,0.02,0.2,0.37,-0.04,0.34,0.03,0.71,0.21,2.5
KOTA DUMAI,0.84,-0.06,-0.02,-0.16,0.27,0.29,0.72,-0.11,0.52,-0.3,0.8,-0.03,2.78
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,0.77,0.16,-0.12,0.27,0.15,0.12,0.3,-0.34,0.35,0.04,0.81,0.31,2.85
KOTA JAMBI,0.91,-0.22,-0.16,0.14,0.51,0.07,0.49,-0.45,0.41,0.5,0.79,0.25,3.27
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.35,0.09,0.21,0.33,-0.05,0.39,0.29,-0.04,0.37,0.53,0.55,0.15,3.22
KOTA LUBUKLINGGAU,0.34,0.04,0.11,0.35,0.13,0.25,0.31,-0.04,0.34,0.19,0.33,0.25,2.61
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.62,0.04,0.25,0.28,0.17,0.21,0.49,-0.07,0.23,0.28,0.3,0.24,3.09
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.82,0.16,0.07,0.3,-0.11,0.17,0.03,0.34,0.33,0.28,1.05,0.02,3.52
KOTA METRO,0.76,0.16,-0.22,0.3,0.25,0.01,0.24,-0.07,0.33,0.44,0.83,-0.03,3.05
TANJUNG PANDAN,1.71,-0.26,0.7,0.19,1.28,-0.03,0.58,-0.4,1.41,-0.62,-0.21,-0.57,3.8
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,-0.1,-0.31,0.26,0.58,0.01,0.4,0.29,0.06,0.61,-0.12,0.05,0.26,2.01
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
