Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-0.01,-0.48,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-0.45,0.48,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,0.26,-1.64,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,-0.81,0.42,-,-,-,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,0.86,-0.05,-,-,-,-,-,-,-,-,-,-,-
KAB LABUHANBATU,-0.83,0.79,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,0.03,-0.02,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-1.3,-0.08,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,-0.26,0.66,-,-,-,-,-,-,-,-,-,-,-
KOTA PEMATANG SIANTAR,-0.11,0.57,-,-,-,-,-,-,-,-,-,-,-
KOTA MEDAN,-0.62,0.33,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANGSIDIMPUAN,-0.32,-0.01,-,-,-,-,-,-,-,-,-,-,-
KOTA GUNUNGSITOLI,-2.37,-0.87,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-0.92,0.85,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-1.84,-0.13,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,-1.02,0.32,-,-,-,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,-0.73,0.5,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-0.24,0.94,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-0.66,0.32,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,-0.35,0.24,-,-,-,-,-,-,-,-,-,-,-
KOTA DUMAI,-0.42,0.5,-,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,-1.31,1.07,-,-,-,-,-,-,-,-,-,-,-
